Transaction_ID,Date,Customer_ID,Product_ID,Quantity,Unit_Price,Total_Amount,Footfall_Count,Energy_Consumption,Month,Year
1,01-01-2023 00:00,63,30,1,29.09,29.09,52,15.77,1,2023
2,01-01-2023 01:00,96,34,1,186.58,186.58,56,16.73,1,2023
3,01-01-2023 02:00,52,18,1,112.62,112.62,47,24.8,1,2023
4,01-01-2023 03:00,96,88,1,138.3,138.3,53,27.93,1,2023
5,01-01-2023 04:00,132,63,1,176.97,176.97,44,24.82,1,2023
6,01-01-2023 05:00,151,49,1,122.45,122.45,49,32.26,1,2023
7,01-01-2023 06:00,143,56,1,192.32,192.32,41,35.91,1,2023
8,01-01-2023 07:00,171,91,1,41.89,41.89,60,39.83,1,2023
9,01-01-2023 08:00,29,58,1,55.43,55.43,81,46.32,1,2023
10,01-01-2023 09:00,36,27,2,58.07,116.14,86,46.86,1,2023
11,01-01-2023 10:00,13,55,1,126.79,126.79,91,51.26,1,2023
12,01-01-2023 11:00,160,85,1,74.44,74.44,81,48.2,1,2023
13,01-01-2023 12:00,71,19,1,98.3,98.3,94,47.27,1,2023
14,01-01-2023 13:00,187,23,2,72.07,144.14,87,50.84,1,2023
15,01-01-2023 14:00,86,47,5,74.94,374.7,85,46.38,1,2023
16,01-01-2023 15:00,28,79,1,85.96,85.96,78,45,1,2023
17,01-01-2023 16:00,66,66,1,117.1,117.1,74,43.27,1,2023
18,01-01-2023 17:00,170,99,3,24.67,74.01,77,38.71,1,2023
19,01-01-2023 18:00,45,51,4,196.64,786.56,70,35.71,1,2023
20,01-01-2023 19:00,62,84,1,30.33,30.33,65,34.93,1,2023
21,01-01-2023 20:00,185,28,3,115.35,346.05,66,22.97,1,2023
22,01-01-2023 21:00,134,57,1,37.58,37.58,63,25.79,1,2023
23,01-01-2023 22:00,28,58,1,56.7,56.7,62,21.71,1,2023
24,01-01-2023 23:00,28,15,1,48.94,48.94,53,23.84,1,2023
25,02-01-2023 00:00,108,16,1,53.25,53.25,43,22.52,1,2023
26,02-01-2023 01:00,44,97,1,109.85,109.85,34,20.87,1,2023
27,02-01-2023 02:00,84,47,1,77.93,77.93,18,18.56,1,2023
28,02-01-2023 03:00,30,63,1,173.22,173.22,36,25.58,1,2023
29,02-01-2023 04:00,190,12,1,196.03,196.03,33,25.12,1,2023
30,02-01-2023 05:00,75,43,1,24.81,24.81,26,30.58,1,2023
31,02-01-2023 06:00,128,84,1,31.45,31.45,33,35.23,1,2023
32,02-01-2023 07:00,92,29,1,123.79,123.79,34,43.92,1,2023
33,02-01-2023 08:00,190,49,1,118.74,118.74,47,45.33,1,2023
34,02-01-2023 09:00,129,3,1,151.72,151.72,42,46,1,2023
35,02-01-2023 10:00,121,69,1,34.12,34.12,54,44.59,1,2023
36,02-01-2023 11:00,27,60,1,78.31,78.31,47,49.05,1,2023
37,02-01-2023 12:00,190,66,1,121.63,121.63,43,47.16,1,2023
38,02-01-2023 13:00,121,87,2,152.53,305.06,56,50.05,1,2023
39,02-01-2023 14:00,116,90,3,103.9,311.7,57,49.5,1,2023
40,02-01-2023 15:00,3,26,1,161.05,161.05,60,46.35,1,2023
41,02-01-2023 16:00,103,71,1,163.09,163.09,47,40.03,1,2023
42,02-01-2023 17:00,198,74,1,171.52,171.52,45,34.62,1,2023
43,02-01-2023 18:00,200,69,1,31.63,31.63,55,36.67,1,2023
44,02-01-2023 19:00,155,47,1,74.29,74.29,42,36.8,1,2023
45,02-01-2023 20:00,137,76,1,149.32,149.32,29,27.48,1,2023
46,02-01-2023 21:00,62,96,1,111.94,111.94,27,22.78,1,2023
47,02-01-2023 22:00,165,42,1,111.87,111.87,43,27.54,1,2023
48,02-01-2023 23:00,51,31,1,131.96,131.96,36,20.67,1,2023
49,03-01-2023 00:00,172,22,1,46.13,46.13,34,23.04,1,2023
50,03-01-2023 01:00,152,17,1,77.32,77.32,25,25.13,1,2023
51,03-01-2023 02:00,59,84,1,31.79,31.79,41,19.23,1,2023
52,03-01-2023 03:00,118,20,1,74,74,36,26.16,1,2023
53,03-01-2023 04:00,160,8,1,177.43,177.43,33,27.91,1,2023
54,03-01-2023 05:00,96,98,1,99.01,99.01,25,32.07,1,2023
55,03-01-2023 06:00,180,49,1,117.26,117.26,32,35.3,1,2023
56,03-01-2023 07:00,113,87,2,148.7,297.4,36,38.99,1,2023
57,03-01-2023 08:00,62,38,1,37.08,37.08,42,40.85,1,2023
58,03-01-2023 09:00,186,53,1,188.07,188.07,48,47.98,1,2023
59,03-01-2023 10:00,52,28,1,114.4,114.4,48,50.26,1,2023
